status	local_id	rom	local_titles	official_title	genre	maker	releases	first_release_date	suggested_title	suggestion_score
official_exact	2020-super-baseball-2020bb	2020bb.zip	2020年スーパーベースボール | 2020 Super Baseball	2020年スーパーベースボール	スポーツ	SNK	ＭＶＳカートリッジ ：1991/09/20 | ＮＥＯＧＥＯ ＲＯＭ：1991/10/25 | ＮＥＯＧＥＯ ＣＤ　：1995/02/25	1991-09-20		
official_exact	3-count-bout-fire-suplex-3countb	3countb.zip	ファイヤースープレックス | 3 Count Bout / Fire Suplex	ファイヤー・スープレックス	格闘プロレス	SNK	ＭＶＳカートリッジ ：1993/03/25 | ＮＥＯＧＥＯ ＲＯＭ：1993/04/23 | ＮＥＯＧＥＯ ＣＤ　：1995/04/21	1993-03-25		
official_exact	aero-fighters-2-sonic-wings-2-sonicwi2	sonicwi2.zip	ソニックウィングス2 | Aero Fighters 2 / Sonic Wings 2	ソニックウィングス2	縦スクロールシューティング	ビデオシステム	ＭＶＳカートリッジ ：1994/07/18 | ＮＥＯＧＥＯ ＲＯＭ：1994/08/26 | ＮＥＯＧＥＯ ＣＤ　：1994/09/29	1994-07-18		
official_exact	aero-fighters-3-sonic-wings-3-sonicwi3	sonicwi3.zip	ソニックウィングス3 | Aero Fighters 3 / Sonic Wings 3	ソニックウィングス3	縦スクロールアクション	ビデオシステム	ＭＶＳカートリッジ ：1995/10/12 | ＮＥＯＧＥＯ ＲＯＭ：1995/11/17 | ＮＥＯＧＥＯ ＣＤ　：1995/12/08	1995-10-12		
official_alias	aggressors-of-dark-kombat-tsuukai-gangan-koushinkyoku-aodk	aodk.zip	痛快GANGAN行進曲 | Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku | 痛快ガンガン行進曲	痛快ガンガン行進曲	格闘アクション	ADK	ＭＶＳカートリッジ ：1994/07/26 | ＮＥＯＧＥＯ ＲＯＭ：1994/08/26 | ＮＥＯＧＥＯ ＣＤ　：1995/01/13	1994-07-26		
official_exact	alpha-mission-ii-aso-ii-last-guardian-alpham2	alpham2.zip	ASO II ラストガーディアン | Alpha Mission II / ASO II - Last Guardian	ASOII －ラストガーディアン－	シューティング	SNK	ＭＶＳカートリッジ ：1991/03/25 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1991-03-25		
official_exact	art-of-fighting-2-ryuuko-no-ken-2-aof2	aof2.zip	龍虎の拳2 | Art of Fighting 2 / Ryuuko no Ken 2	龍虎の拳2	格闘アクション	SNK	ＭＶＳカートリッジ ：1994/02/03 | ＮＥＯＧＥＯ ＲＯＭ：1994/03/11 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1994-02-03		
official_alias	art-of-fighting-3-the-path-of-the-warrior-art-of-fighting-ryuuko-no-ken-gaiden-aof3	aof3.zip	ART OF FIGHTING 龍虎の拳外伝 | Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden	ART OF FIGHTING 龍虎の拳 外伝	格闘アクション	SNK	ＭＶＳカートリッジ ：1996/03/12 | ＮＥＯＧＥＯ ＲＯＭ：1996/04/26 | ＮＥＯＧＥＯ ＣＤ　：1996/06/14	1996-03-12		
official_exact	art-of-fighting-ryuuko-no-ken-aof	aof.zip	龍虎の拳 | Art of Fighting / Ryuuko no Ken	龍虎の拳	格闘アクション	SNK	ＭＶＳカートリッジ ：1992/09/24 | ＮＥＯＧＥＯ ＲＯＭ：1992/12/11 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1992-09-24		
official_exact	bakatonosama-mahjong-manyuuki-bakatono	bakatono.zip	バカ殿様麻雀漫遊記 | Bakatonosama Mahjong Manyuuki	バカ殿様麻雀漫遊記	麻雀	モノリス	ＭＶＳカートリッジ ：1991/11 | ＮＥＯＧＥＯ ＲＯＭ：1991/12/13	1991-11		
review_local_only	bang-bead-bangbead	bangbead.zip	Bang Bead							
official_exact	baseball-stars-2-bstars2	bstars2.zip	ベースボールスターズ2 | Baseball Stars 2	ベースボールスターズ2	スポーツ	SNK	ＭＶＳカートリッジ ：1992/04/15 | ＮＥＯＧＥＯ ＲＯＭ：1992/04/28 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1992-04-15		
official_exact	baseball-stars-professional-bstars	bstars.zip	ベースボールスターズプロフェッショナル | Baseball Stars Professional	ベースボールスターズプロフェッショナル	スポーツ	SNK	ＭＶＳカートリッジ ：1990/04/26 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1995/04/21	1990-04-26		
official_alias	battle-flip-shot-flipshot	flipshot.zip	Battle Flip Shot | フリップショット	フリップショット	アクション	ビスコ	ＭＶＳカートリッジ ：1998/12/08	1998-12-08		
official_exact	blazing-star-blazstar	blazstar.zip	ブレイジングスター | Blazing Star	ブレイジングスター	シューティング	夢工房	ＭＶＳカートリッジ ：1998/01/19 | ＮＥＯＧＥＯ ＲＯＭ：1998/02/26	1998-01-19		
official_exact	blue-s-journey-raguy-bjourney	bjourney.zip	ラギ | Blue's Journey / Raguy	ラギ	アクション	ADK	ＭＶＳカートリッジ ：1991/03/14 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1994/10/31	1991-03-14		
official_exact	breakers-breakers	breakers.zip	ブレイカーズ | Breakers	ブレイカーズ	格闘アクション	ビスコ	ＭＶＳカートリッジ ：1996/12/17 | ＮＥＯＧＥＯ ＲＯＭ：1997/03/21 | ＮＥＯＧＥＯ ＣＤ　：1997/04/25	1996-12-17		
official_exact	breakers-revenge-breakrev	breakrev.zip	ブレイカーズリベンジ | Breakers Revenge	ブレイカーズ・リベンジ	格闘アクション	ビスコ	ＭＶＳカートリッジ ：1998/07/03 | ＮＥＯＧＥＯ ＲＯＭ：　	1998-07-03		
official_exact	burning-fight-burningf	burningf.zip	バーニングファイト | Burning Fight	バーニングファイト	アクション	SNK	ＭＶＳカートリッジ ：1991/05/20 | ＮＥＯＧＥＯ ＲＯＭ：1991/08/09 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1991-05-20		
official_exact	captain-tomaday-ctomaday	ctomaday.zip	キャプテン・トマディ | Captain Tomaday	キャプテン・トマディ	シューティング	ビスコ	ＭＶＳカートリッジ ：1999/05/27	1999-05-27		
official_alias	chibi-maruko-chan-maruko-deluxe-quiz-marukodq	marukodq.zip	ちびまる子ちゃん まる子デラックスクイズ | Chibi Maruko-chan: Maruko Deluxe Quiz | まる子デラックスクイズ	まる子デラックスクイズ	バラエティ	タカラ	ＭＶＳカートリッジ ：1995/11/27 | ＮＥＯＧＥＯ ＲＯＭ：1996/01/26	1995-11-27		
official_alias	crossed-swords-crsword	crsword.zip	クロスソード | Crossed Swords | クロススウォード	クロススウォード	アクション	ADK	ＭＶＳカートリッジ ：1991/07/25 | ＮＥＯＧＥＯ ＲＯＭ：1991/10/01 | ＮＥＯＧＥＯ ＣＤ　：1994/10/31	1991-07-25		
official_exact	cyber-lip-cyberlip	cyberlip.zip	サイバーリップ | Cyber-Lip	サイバーリップ	アクション	SNK	ＭＶＳカートリッジ ：1990/11/07 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1995/04/21	1990-11-07		
official_exact	double-dragon-doubledr	doubledr.zip	ダブルドラゴン | Double Dragon	ダブルドラゴン	格闘アクション	テクノスジャパン	ＭＶＳカートリッジ ：1995/03/03 | ＮＥＯＧＥＯ ＲＯＭ：1995/03/31 | ＮＥＯＧＥＯ ＣＤ　：1995/06/02	1995-03-03		
