platform	source	classification	matched_game_id	matched_rom_name	note
fc	'89 Dennou Kyuusei Uranai (Japan).zip	filename_exact_hash_mismatch_processable	89-dennou-kyuusei-uranai	'89 Dennou Kyuusei Uranai (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	10-Yard Fight (Japan) (En).zip	filename_exact_hash_mismatch_processable	10-yard-fight	10-Yard Fight (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan).zip	filename_exact_hash_mismatch_processable	100-man-dollar-kid-maboroshi-no-teiou-hen	100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	1943 - The Battle of Valhalla (Japan).zip	filename_exact_hash_mismatch_processable	1943-the-battle-of-valhalla	1943 - The Battle of Valhalla (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	1999 - Hore, Mitakotoka! Seikimatsu (Japan).zip	filename_exact_hash_mismatch_processable	1999-hore-mitakotoka-seikimatsu	1999 - Hore, Mitakotoka! Seikimatsu (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	2010 - Street Fighter (Japan).zip	filename_base_hash_mismatch_review	2010-street-fighter	2010 Street Fighter (Japan)|2010 Street Fighter (Japan) (Beta)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	4 Nin Uchi Mahjong (Japan).zip	filename_exact_hash_mismatch_processable	4-nin-uchi-mahjong	4 Nin Uchi Mahjong (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	8 Eyes (Japan).zip	filename_exact_hash_mismatch_processable	8-eyes	8 Eyes (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	ASO - Armored Scrum Object (Japan).zip	filename_base_hash_mismatch_review	alpha-mission	ASO - Armored Scrum Object (Japan) (En)|ASO - Armored Scrum Object (Japan) (En) (Sample)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Aa Yakyuu Jinsei Icchokusen (Japan).zip	filename_exact_hash_mismatch_processable	aa-yakyuu-jinsei-icchokusen	Aa Yakyuu Jinsei Icchokusen (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Abadox (Japan) (En).zip	filename_exact_hash_mismatch_processable	abadox	Abadox (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Aces - Iron Eagle III (Japan).zip	filename_exact_hash_mismatch_processable	ultimate-air-combat	Aces - Iron Eagle III (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Advanced Dungeons & Dragons - Hillsfar (Japan).zip	filename_exact_hash_mismatch_processable	hillsfar	Advanced Dungeons & Dragons - Hillsfar (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Advanced Dungeons & Dragons - Pool of Radiance (Japan).zip	filename_exact_hash_mismatch_processable	pool-of-radiance	Advanced Dungeons & Dragons - Pool of Radiance (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Adventures of Lolo (Japan) (En).zip	filename_exact_hash_mismatch_processable	adventures-of-lolo	Adventures of Lolo (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Adventures of Lolo II (Japan).zip	filename_exact_hash_mismatch_processable	adventures-of-lolo-2	Adventures of Lolo II (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	After Burner (Japan) (En).zip	filename_exact_hash_mismatch_processable	after-burner	After Burner (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Aigina no Yogen - Balubalouk no Densetsu Yori (Japan).zip	filename_exact_hash_mismatch_processable	aigina-no-yogen-balubalouk-no-densetsu-yori	Aigina no Yogen - Balubalouk no Densetsu Yori (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Air Fortress (Japan).zip	filename_base_hash_mismatch_review	air-fortress	Air Fortress (Europe)|Air Fortress (Japan) (En)|Air Fortress (USA)|Air Fortress (USA) (Beta) (1989-03-03)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	Airwolf (Japan) (Kyugo).zip	filename_exact_hash_mismatch_processable	airwolf	Airwolf (Japan) (Kyugo)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Akira (Japan).zip	filename_exact_hash_mismatch_processable	akira	Akira (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Akumajou Densetsu (Japan).zip	filename_exact_hash_mismatch_processable	castlevania-iii-draculas-curse	Akumajou Densetsu (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Akumajou Special - Boku Dracula-kun (Japan).zip	filename_exact_hash_mismatch_processable	kid-dracula	Akumajou Special - Boku Dracula-kun (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Alien Syndrome (Japan).zip	filename_base_hash_mismatch_review	alien-syndrome	Alien Syndrome (Japan) (En)|Alien Syndrome (USA) (Unl)	Base ROM filename matches after stripping No-Intro suffixes; process as low confidence and review region/revision/hash.
fc	American Dream (Japan).zip	filename_exact_hash_mismatch_processable	american-dream	American Dream (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Ankoku Shinwa - Yamato Takeru Densetsu (Japan).zip	filename_exact_hash_mismatch_processable	ankoku-shinwa-yamato-takeru-densetsu	Ankoku Shinwa - Yamato Takeru Densetsu (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Arabian Dream Scheherazade (Japan).zip	filename_exact_hash_mismatch_processable	the-magic-of-scheherazade	Arabian Dream Scheherazade (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Arctic (Japan) (En).zip	filename_exact_hash_mismatch_processable	arctic	Arctic (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Argos no Senshi (Japan) (FamicomBox).zip	filename_exact_hash_mismatch_processable	rygar	Argos no Senshi (Japan) (FamicomBox)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Argos no Senshi - Hachamecha Daishingeki (Japan).zip	filename_exact_hash_mismatch_processable	argos-no-senshi-hachamecha-daishingeki	Argos no Senshi - Hachamecha Daishingeki (Japan)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Arkanoid (Japan) (En).zip	filename_exact_hash_mismatch_processable	arkanoid	Arkanoid (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
fc	Arkanoid II (Japan) (En).zip	filename_exact_hash_mismatch_processable	arkanoid-ii	Arkanoid II (Japan) (En)	Exact ROM filename exists in GameDB; process by filename and flag the hash mismatch for review.
