platform	source	target	reason
gb	Addams Family, The (Japan).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip
gb	Alien 3 (Japan) (En).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip
gb	Batman Forever (Japan) (En).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip
gb	Bomberman GB (Japan) (SGB Enhanced).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/ボンバーマン GB.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/ボンバーマン GB.zip
gb	Bomberman GB 2 (Japan) (SGB Enhanced).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/ボンバーマン GB.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/ボンバーマン GB.zip
gb	Donkey Kong Land (Japan) (SGB Enhanced).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/スーパードンキーコングGB.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/スーパードンキーコングGB.zip
gb	Foreman for Real (Japan) (En).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/忍たま乱太郎GB.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/忍たま乱太郎GB.zip
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Kokugo Battle Hen (Japan) (IE Institute).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 国語バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 国語バトル編 (IE Institute).zip
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Kokugo Battle Hen (Japan) (Imagineer).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 国語バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 国語バトル編 (IE Institute).zip
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Rika Battle Hen (Japan) (IE Institute).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 理科バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 理科バトル編 (IE Institute).zip
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Rika Battle Hen (Japan) (Imagineer).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 理科バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 理科バトル編 (IE Institute).zip
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Sansuu Battle Hen (Japan) (IE Institute).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 算数バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 算数バトル編 (IE Institute).zip
