platform	source	api_name_status
gb	Booby Boys (Japan).zip	rom_name_not_in_api
gb	Duel Masters (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 01 - Super Mario Bros. (Japan) (En) (Rev 1).zip	rom_name_not_in_api
gb	Famicom Mini 02 - Donkey Kong (Japan) (En).zip	rom_name_not_in_api
gb	Famicom Mini 03 - Ice Climber (Japan) (En).zip	rom_name_not_in_api
gb	Famicom Mini 05 - Zelda no Densetsu 1 - The Hyrule Fantasy (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 06 - Pac-Man (Japan) (En).zip	rom_name_not_in_api
gb	Famicom Mini 07 - Xevious (Japan) (En).zip	rom_name_not_in_api
gb	Famicom Mini 08 - Mappy (Japan) (En).zip	rom_name_not_in_api
gb	Famicom Mini 09 - Bomberman (Japan) (En).zip	rom_name_not_in_api
gb	Famicom Mini 10 - Star Soldier (Japan) (En).zip	rom_name_not_in_api
gb	Famicom Mini 12 - Clu Clu Land (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 13 - Balloon Fight (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 15 - Dr. Mario (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 16 - Dig Dug (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 17 - Takahashi Meijin no Bouken-jima (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 21 - Super Mario Bros. 2 (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 29 - Akumajou Dracula (Japan).zip	rom_name_not_in_api
gb	Famicom Mini 30 - SD Gundam World - Gachapon Senshi Scramble Wars (Japan).zip	rom_name_not_in_api
gb	Game Boy Controller Kensa Cartridge (Japan).zip	rom_name_not_in_api
gb	Ikari no Yousai 2 (Japan).zip	rom_name_not_in_api
gb	Kaeru no Tame ni Kane wa Naru (Japan).zip	rom_name_not_in_api
gb	Kinniku Banzuke - Kimero! Kiseki no Kanzen Seiha (Japan).zip	rom_name_not_in_api
gb	Mother 3 (Japan) (Virtual Console).zip	rom_name_not_in_api
gb	Peke to Poko no Daruman Busters (Japan).zip	rom_name_not_in_api
gb	Penta Dragon (Japan).zip	rom_name_not_in_api
gb	SD Hiryuu no Ken Gaiden 2 (Japan) (SGB Enhanced).zip	rom_name_not_in_api
gba	Bomberman Story (Japan).zip	rom_name_not_in_api
gba	Breath of Fire - Ryuu no Senshi (Japan).zip	rom_name_not_in_api
gba	Digimon Racing (Japan).zip	rom_name_not_in_api
gba	Doraemon - Midori no Wakusei Dokidoki Daikyuushutsu! (Japan).zip	rom_name_not_in_api
gba	Dragon Ball Z - The Legacy of Goku II International (Japan).zip	rom_name_not_in_api
gba	Duel Masters (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 01 - Super Mario Bros. (Japan) (En) (Rev 1).zip	rom_name_not_in_api
gba	Famicom Mini 02 - Donkey Kong (Japan) (En).zip	rom_name_not_in_api
gba	Famicom Mini 03 - Ice Climber (Japan) (En).zip	rom_name_not_in_api
gba	Famicom Mini 05 - Zelda no Densetsu 1 - The Hyrule Fantasy (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 06 - Pac-Man (Japan) (En).zip	rom_name_not_in_api
gba	Famicom Mini 07 - Xevious (Japan) (En).zip	rom_name_not_in_api
gba	Famicom Mini 08 - Mappy (Japan) (En).zip	rom_name_not_in_api
gba	Famicom Mini 09 - Bomberman (Japan) (En).zip	rom_name_not_in_api
gba	Famicom Mini 10 - Star Soldier (Japan) (En).zip	rom_name_not_in_api
gba	Famicom Mini 12 - Clu Clu Land (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 13 - Balloon Fight (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 15 - Dr. Mario (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 16 - Dig Dug (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 17 - Takahashi Meijin no Bouken-jima (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 21 - Super Mario Bros. 2 (Japan).zip	rom_name_not_in_api
gba	Famicom Mini 29 - Akumajou Dracula (Japan).zip	rom_name_not_in_api
