platform	source	reason
fc	'89 Dennou Kyuusei Uranai (Japan).zip	unmatched ROM
fc	10-Yard Fight (Japan) (En).zip	unmatched ROM
fc	100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan).zip	unmatched ROM
fc	1943 - The Battle of Valhalla (Japan).zip	unmatched ROM
fc	1999 - Hore, Mitakotoka! Seikimatsu (Japan).zip	unmatched ROM
fc	2010 - Street Fighter (Japan).zip	unmatched ROM
fc	4 Nin Uchi Mahjong (Japan).zip	unmatched ROM
fc	8 Eyes (Japan).zip	unmatched ROM
fc	ASO - Armored Scrum Object (Japan).zip	unmatched ROM
fc	Aa Yakyuu Jinsei Icchokusen (Japan).zip	unmatched ROM
fc	Abadox (Japan) (En).zip	unmatched ROM
fc	Aces - Iron Eagle III (Japan).zip	unmatched ROM
fc	Advanced Dungeons & Dragons - Hillsfar (Japan).zip	unmatched ROM
fc	Advanced Dungeons & Dragons - Pool of Radiance (Japan).zip	unmatched ROM
fc	Adventures of Lolo (Japan) (En).zip	unmatched ROM
fc	Adventures of Lolo II (Japan).zip	unmatched ROM
fc	After Burner (Japan) (En).zip	unmatched ROM
fc	Aigina no Yogen - Balubalouk no Densetsu Yori (Japan).zip	unmatched ROM
fc	Air Fortress (Japan).zip	unmatched ROM
fc	Airwolf (Japan) (Kyugo).zip	unmatched ROM
fc	Akira (Japan).zip	unmatched ROM
fc	Akumajou Densetsu (Japan).zip	unmatched ROM
fc	Akumajou Special - Boku Dracula-kun (Japan).zip	unmatched ROM
fc	Alien Syndrome (Japan).zip	unmatched ROM
fc	American Dream (Japan).zip	unmatched ROM
fc	Ankoku Shinwa - Yamato Takeru Densetsu (Japan).zip	unmatched ROM
fc	Arabian Dream Scheherazade (Japan).zip	unmatched ROM
fc	Arctic (Japan) (En).zip	unmatched ROM
fc	Argos no Senshi (Japan) (FamicomBox).zip	unmatched ROM
fc	Argos no Senshi - Hachamecha Daishingeki (Japan).zip	unmatched ROM
fc	Arkanoid (Japan) (En).zip	unmatched ROM
fc	Arkanoid II (Japan) (En).zip	unmatched ROM
fc	Armadillo (Japan).zip	unmatched ROM
fc	Artelius (Japan).zip	unmatched ROM
fc	Asmik-kun Land (Japan).zip	unmatched ROM
fc	Astro Robo Sasa (Japan) (En).zip	unmatched ROM
fc	Athena (Japan).zip	unmatched ROM
fc	Attack Animal Gakuen (Japan) (En) (Famicom 3D System).zip	unmatched ROM
fc	B-Wings (Japan) (En).zip	unmatched ROM
fc	Baken Hisshou Gaku - Gate In (Japan).zip	unmatched ROM
